image,quality_score,quality_score,caption,modifier,similarity_score,similarity_sentence,ImageReward_score,,align_score,prompt
16.png,50.819,50.819,a vase filled with flowers on top of a table,0.2818395,0.6959,a vase filled with flowers ,0.919484138,,63.885,a flower
17.png,56.446,56.446,flowers in a vase on a sunny day,0.1536795,0.7881,flowers in a ,1.101838231,,59.818,a flower
18.png,42.498,42.498,a painting of colorful flowers on a wall,0.427366,0.6893,a painting of colorful flowers ,-2.232583761,,42.306,a flower
19.png,64.116,64.116,a flower in a vase on a table,0.128952,0.9552,a flower ,1.021411896,,65.821,a flower
20.png,63.37,63.37,a close up picture of a green plant,0.139909091,0.4275,a close up picture of a green ,1.048620462,,60.412,a green pepper
21.png,66.205,66.205,a green and white green and white green and white green and white green and,0.055505455,0.636,a green ,0.711732388,,63.15,a green pepper
22.png,54.599,54.599,a close up picture of a close up picture of a close up picture of,0.032748,0.2729,a close up ,-0.441458523,,49.547,a green pepper
23.png,56.701,56.701,a close up picture of a green and yellow plant,0.179037818,0.4827,a close up picture of a green and ,0.369512588,,60.732,a green pepper
24.png,60.102,60.102,a clock with a cartoon character on it,0.044974468,0.271,a clock with ,-0.234940082,,57.866,a book cover
25.png,54.159,54.159,a book that is sitting on top of a table,0.062329787,0.6975,a book ,0.415078014,,51.455,a book cover
26.png,48.756,48.756,a painting of a man sitting on a bench,0.065525106,0.3208,a painting of a ,0.14706403,,51.543,a book cover
27.png,64.08,64.08,"an advertisement for a book titled, ""why do you hate me?""",0.330977872,0.6173,"an advertisement for a book titled, ",-0.045075759,,62.794,a book cover
28.png,58.008,58.008,a kitchen with a stove top oven and a sink,0.129893333,0.9742,a kitchen ,0.181611091,,59.341,a kitchen
29.png,69.131,69.131,"a kitchen with a stove, refrigerator, sink and microwave",0.129893333,0.9742,a kitchen ,0.046741627,,69.794,a kitchen
30.png,54.711,54.711,a kitchen with stainless steel appliances and wood cabinets,0.124306667,0.9323,a kitchen ,0.246864021,,52.717,a kitchen
31.png,62.772,62.772,a kitchen with wooden cabinets and wooden floors,0.124866667,0.9365,a kitchen ,0.008631787,,63.681,a kitchen
32.png,55.278,55.278,a painting of a forest filled with trees,0.0758425,0.2638,a painting of a forest ,0.327442527,,53.68,a fall landscape
33.png,44.381,44.381,a river filled with lots of water and trees,0.02727,0.2727,a river ,0.180522785,,54.117,a fall landscape
34.png,56.518,56.518,a forest filled with lots of trees with a sky background,0.04102875,0.3647,a forest ,0.845741272,,54.498,a fall landscape
35.png,53.344,53.344,a painting of a painting of a forest with trees,0.14226,0.2371,a painting of a painting of a forest with trees ,0.08770898,,62.283,a fall landscape
36.png,59.946,59.946,a red and white clock tower in the middle of a foggy day,0.230987755,0.3144,a red and white clock tower in the middle of ,0.282346249,,59.841,a photo of san francisco's golden gate bridge
37.png,57.732,57.732,a bridge over a body of water with a blue sky,0.051366122,0.4661,a bridge ,0.673623919,,60.361,a photo of san francisco's golden gate bridge
38.png,50.101,50.101,a red and white fire hydrant in front of a fence,0.13554,0.2259,a red and white fire hydrant in front of a fence ,0.307929158,,48.706,a photo of san francisco's golden gate bridge
39.png,58.132,58.132,a bridge over a river with a clock on it,0.051366122,0.4661,a bridge ,0.664587975,,60.426,a photo of san francisco's golden gate bridge
40.png,56.618,56.618,a giraffe standing on top of a lush green field,0.395971765,0.7012,a giraffe standing on top of a lush green field ,-0.999356508,,53.978,A giraffe walking through a green grass covered field
41.png,60.822,60.822,a giraffe standing in the middle of a field,0.348687059,0.6736,a giraffe standing in the middle of a field ,0.025181495,,57.178,A giraffe walking through a green grass covered field
42.png,46.5,46.5,a giraffe standing in the middle of a grassy field,0.42888,0.7148,a giraffe standing in the middle of a grassy field ,0.58210218,,50.332,A giraffe walking through a green grass covered field
43.png,46.354,46.354,a giraffe's head with a green background,0.229129412,0.6492,a giraffe's head with a green ,-1.788956642,,39.263,A giraffe walking through a green grass covered field
44.png,51.065,51.065,a woman in a red dress is looking at her cell phone,0.058392558,0.5231,a woman ,-0.400473148,,54.837,a woman with long hair
45.png,62.68,62.68,a woman in a black dress is looking at the camera,0.058392558,0.5231,a woman ,-0.623134553,,65.63,a woman with long hair
46.png,54.274,54.274,a woman with long hair wearing a blue dress,0.526165116,0.9837,a woman with long hair ,0.861632049,,56.482,a woman with long hair
47.png,60.563,60.563,a woman with long hair standing in front of a wall,0.343304419,0.9169,a woman with long hair ,-0.499429286,,62.217,a woman with long hair
48.png,56.679,56.679,a red double decker bus driving down a road,0.7095,0.774,a red double decker bus driving down a road ,0.829417109,,59.057,A red bus is driving on the road
49.png,61.018,61.018,a red double decker bus driving down a street,0.4392425,0.7639,a red double decker bus driving down a street ,-0.069178157,,62.559,A red bus is driving on the road
50.png,52.465,52.465,a double decker bus driving down a street,0.3186225,0.6069,a double decker bus driving down a street ,-1.80975318,,44.121,A red bus is driving on the road
51.png,59.828,59.828,a red double decker bus driving down a road,0.5676,0.774,a red double decker bus driving down a road ,0.867595673,,62.603,A red bus is driving on the road
52.png,68.13,68.13,a teddy bear sitting on top of a skateboard,0.480832,0.7513,a teddy bear sitting on top of a skateboard ,1.940660834,,62.986,a teddy bear on a skateboard
53.png,57.345,57.345,a teddy bear is sitting on a skateboard,0.5584,0.7678,a teddy bear is sitting on a skateboard ,1.83532095,,55.297,a teddy bear on a skateboard
54.png,47.2,47.2,a teddy bear sitting on the floor next to a skateboard,0.44352,0.7392,a teddy bear sitting on the floor next to a skateboard ,1.709515333,,48.415,a teddy bear on a skateboard
55.png,63.613,63.613,a teddy bear sitting on top of a skateboard,0.420728,0.7513,a teddy bear sitting on top of a skateboard ,1.793915272,,55.395,a teddy bear on a skateboard
56.png,60.192,60.192,a green and white bird sitting on top of a wooden table,0.023779672,0.3022,a green ,-1.877843022,,45.194,a pumpkin with a candle in it
57.png,57.599,57.599,a yellow fire hydrant sitting in the middle of a forest,0.035872131,0.2605,a yellow fire ,-1.032740474,,55.855,a pumpkin with a candle in it
58.png,67.149,67.149,a large orange and yellow fire hydrant sitting on top of a table,0.055755738,0.3779,a large orange ,1.486886859,,58.502,a pumpkin with a candle in it
59.png,60.251,60.251,a close up picture of a large orange flower,0.146498361,0.3385,a close up picture of a large orange flower ,0.631135285,,60.513,a pumpkin with a candle in it
60.png,57.533,57.533,a bowl filled with soup and vegetables next to chopsticks,0.067266316,0.6086,a bowl ,1.475118279,,54.531,A bowl of Chicken Pho
61.png,61.04,61.04,a bowl filled with noodles and vegetables,0.067266316,0.6086,a bowl ,1.380544186,,57.298,A bowl of Chicken Pho
62.png,60.052,60.052,a bowl filled with meat and vegetables on top of a table,0.385869474,0.6546,a bowl filled with meat and ,1.123214126,,57.887,A bowl of Chicken Pho
63.png,61.398,61.398,a white bowl filled with noodles and vegetables,0.120017368,0.5847,a white bowl ,1.08520472,,56.882,A bowl of Chicken Pho
64.png,62.218,62.218,a colorful flower arrangement on a colorful fabric,0.038732571,0.2054,a colorful ,0.247401729,,55.671,A heart made of chocolate
65.png,60.245,60.245,a chocolate frosted chocolate frosted chocolate frosted chocolate frosted chocolate frost,0.136470857,0.6634,a chocolate ,1.850909472,,56.06,A heart made of chocolate
66.png,64.724,64.724,a chocolate frosted donut on top of a table,0.125424,0.6097,a chocolate ,1.579186797,,61.073,A heart made of chocolate
67.png,58.558,58.558,a chocolate cake with frosting on top of it,0.132192,0.6426,a chocolate ,1.856902003,,62.219,A heart made of chocolate
68.png,67.766,67.766,a living room filled with furniture and a vase of flowers,0.218941176,0.3722,a living room filled with furniture and a vase of ,1.394386411,,61.291,a coffee table with a magazine on it
69.png,61.183,61.183,a living room with a coffee table and a bookcase,0.24832,0.6208,a living room with a coffee table ,1.346666813,,53.753,a coffee table with a magazine on it
70.png,60.38,60.38,a living room filled with furniture and a bookcase,0.21006,0.3501,a living room filled with furniture and a bookcase ,1.315970063,,57.373,a coffee table with a magazine on it
71.png,63.482,63.482,a living room filled with furniture and a bookcase,0.21006,0.3501,a living room filled with furniture and a bookcase ,1.522772789,,58.495,a coffee table with a magazine on it
72.png,64.622,64.622,the sun is setting over the ocean at sunset,0.5061056,0.7189,the sun is setting over the ocean at sunset ,0.484862745,,61.933,Sunset over the sea
73.png,50.916,50.916,a sunset shot of a sunset on a beach,0.0839916,0.7777,a sunset ,-0.279129952,,53.704,Sunset over the sea
74.png,57.634,57.634,a sunset shot of a beach with a large body of water,0.084888,0.786,a sunset ,-0.004191878,,62.258,Sunset over the sea
75.png,52.639,52.639,a blurry photo of a sunset with a sky background,0.2067444,0.6381,a blurry photo of a sunset ,-0.602066517,,56.779,Sunset over the sea
76.png,49.147,49.147,boats are docked in the water near a building,0.051055385,0.5531,boats are ,-0.547132194,,51.448,a boat in the canals of venice
77.png,45.564,45.564,a river filled with lots of colorful umbrellas,0.032123077,0.435,a river ,0.772645831,,48.232,a boat in the canals of venice
78.png,51.007,51.007,a row of red and white boats in a body of water,0.19548,0.543,a row of red and white boats in a body ,0.361321956,,50.462,a boat in the canals of venice
79.png,60.491,60.491,a river filled with lots of small boats in the middle of a city,0.312753231,0.5294,a river filled with lots of small boats in the middle of a city ,0.097847238,,56.05,a boat in the canals of venice
80.png,46.661,46.661,a horse and a donkey jumping in the air,0.263847273,0.5004,a horse and a donkey jumping ,0.284661025,,40.837,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.
81.png,56.657,56.657,a statue of a horse and a donkey,0.072612,0.2017,a statue of a horse and a donkey ,0.551472843,,39.712,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.
82.png,50.442,50.442,a statue of a bear with a stuffed animal in it's mouth,0.18222,0.3037,a statue of a bear with a stuffed animal in it's mouth ,0.66758585,,41.297,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.
83.png,56.604,56.604,a large gray and white horse drinking water from a pond,0.055363636,0.175,a large gray and white horse ,-0.211823195,,48.542,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.
84.png,49.032,49.032,a woman reading a book while sitting on a park bench,0.119583273,0.4766,a woman reading a book ,0.102032237,,40.545,a grandmother reading a book to her grandson and granddaughter
85.png,53.575,53.575,a woman sitting on a couch with a child reading a book,0.294,0.49,a woman sitting on a couch with a child reading a book ,1.38929224,,46.844,a grandmother reading a book to her grandson and granddaughter
86.png,46.733,46.733,a woman reading a book to a little girl,0.33664,0.5786,a woman reading a book to a little girl ,1.313159823,,40.138,a grandmother reading a book to her grandson and granddaughter
87.png,53.473,53.473,a woman sitting on a couch with a child reading a book,0.294,0.49,a woman sitting on a couch with a child reading a book ,1.630344272,,45.898,a grandmother reading a book to her grandson and granddaughter
88.png,61.257,61.257,a semi truck is driving down the road,0.106635294,0.5665,a semi truck is ,-1.203769326,,52.281,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. 
89.png,61.722,61.722,a semi truck driving down a road next to a fence,0.082894118,0.542,a semi truck ,-0.910012007,,50.506,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. 
90.png,48.759,48.759,a blue truck is driving down the road,0.091045882,0.5953,a blue truck ,0.527184546,,39.009,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. 
91.png,58.112,58.112,a row of semi trucks driving down a road,0.141836471,0.5741,a row of semi trucks ,-1.300930023,,45.885,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. 
92.png,59.904,59.904,a figurine of a bear and a fire hydrant,0.09998,0.4999,a figurine of a bear ,1.472701669,,60.589,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese
93.png,55.134,55.134,a cat sitting on top of a cake,0.020811429,0.3642,a cat ,-0.117588609,,45.427,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese
94.png,58.126,58.126,a cat sitting on top of a box next to a book,0.107257143,0.3754,a cat sitting on top of a box ,-0.349155337,,52.172,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese
95.png,58.605,58.605,a person wearing a cat costume,0.103628571,0.351,a person wearing a cat costume ,-0.086684093,,41.724,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese
96.png,55.569,55.569,a reflection of a reflection of a car in a mirror,0.255879048,0.6553,a reflection of a reflection of a car in ,-0.417819768,,53.506,a tree reflected in the sunroof of a blue car
97.png,59.285,59.285,a blue car is parked in a parking lot,0.08416,0.6312,a blue car is ,-2.26406002,,41.523,a tree reflected in the sunroof of a blue car
98.png,55.328,55.328,a photo taken from inside a car window,0.15834,0.4263,a photo taken from inside a car window ,-0.059206735,,52.984,a tree reflected in the sunroof of a blue car
99.png,54.041,54.041,a tree filled with lots of green leaves in front of a blue sky,0.31368,0.5228,a tree filled with lots of green leaves in front of a blue sky ,-2.121955633,,46.152,a tree reflected in the sunroof of a blue car
100.png,51.553,51.553,a table topped with a bunch of different types of fruit,0.15504,0.2584,a table topped with a bunch of different types of fruit ,1.725535393,,42.932,a pineapple with one beer to its left and two beers on its right
101.png,63.567,63.567,a glass of beer sitting on top of a table,0.095897143,0.5594,a glass of beer ,-1.878301382,,48.343,a pineapple with one beer to its left and two beers on its right
102.png,55.041,55.041,a vase with flowers on top of it,0.031808571,0.2474,a vase with ,1.188760281,,48.818,a pineapple with one beer to its left and two beers on its right
103.png,62.062,62.062,a bottle of beer next to a bottle of coke,0.2032425,0.6022,a bottle of beer next to a ,1.638547778,,53.258,a pineapple with one beer to its left and two beers on its right
104.png,56.301,56.301,a collage of different types of stickers on a wall,0.129158644,0.2761,a collage of different types of stickers on a ,-0.205853119,,46.541,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."
105.png,57.986,57.986,a table topped with lots of different types of magnets,0.076347458,0.1365,a table topped with lots of different types of magnets ,0.053423069,,54.231,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."
106.png,51.353,51.353,a variety of toys are displayed on a table,0.157080678,0.3131,a variety of toys are displayed on a ,0.19035694,,45.318,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."
107.png,63.675,63.675,a variety of toy animals on a table,0.081701695,0.2678,a variety of toy animals on a ,-0.85695523,,53.9,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."
108.png,61.995,61.995,a living room filled with furniture and flowers,0.329675294,0.5838,a living room filled with furniture and flowers ,0.100312665,,58.522,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table
109.png,54.774,54.774,a living room filled with furniture and flowers,0.329675294,0.5838,a living room filled with furniture and flowers ,0.970213115,,58.215,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table
110.png,65.601,65.601,a living room filled with furniture and a dog,0.527827451,0.5852,a living room filled with furniture and a dog ,1.301095247,,61.356,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table
111.png,51.102,51.102,a living room filled with furniture and a dog,0.422261961,0.5852,a living room filled with furniture and a dog ,1.69050777,,53.519,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table
112.png,54.18,54.18,a snowy mountain range with a lake and mountains,0.309385714,0.7219,a snowy mountain range with a lake ,1.296941638,,55.775,Snow mountain and tree reflection in the lake
113.png,67.548,67.548,a snowy landscape with a lake and mountains,0.253542857,0.6902,a snowy landscape with a lake ,1.567178011,,58.655,Snow mountain and tree reflection in the lake
114.png,55.828,55.828,a large body of water with a mountain range,0.196452245,0.4222,a large body of water with a mountain ,0.36301139,,59.59,Snow mountain and tree reflection in the lake
115.png,63.185,63.185,a large body of water surrounded by mountains,0.203676735,0.3616,a large body of water surrounded by mountains ,0.817616642,,64.197,Snow mountain and tree reflection in the lake
116.png,61.799,61.799,a painting of a painting of a group of people on a beach,0.038930182,0.2549,a painting of ,0.148635,,56.292,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"
117.png,55.744,55.744,a painting of a colorful kite on a wall,0.130341818,0.2987,a painting of a colorful kite on a wall ,-0.113978967,,54.432,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"
118.png,58.218,58.218,a display of colorful umbrellas in front of a building,0.4157,0.4157,a display of colorful umbrellas in front of a building ,0.241367549,,58.282,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"
119.png,49.882,49.882,a painting of a train on top of a bridge,0.039495273,0.2586,a painting of ,-0.079535753,,47.816,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"
120.png,56.302,56.302,a large teddy bear sitting on top of a jet ski,0.143237778,0.2998,a large teddy bear sitting on top of a jet ,-0.91518265,,47.864,a dolphin in an astronaut suit on saturn
121.png,48.83,48.83,a model of a bird flying through the air,0.12382,0.2718,a model of a bird flying through the air ,-0.571607053,,38.788,a dolphin in an astronaut suit on saturn
122.png,51.676,51.676,a man is in the air with a snowboard,0.052,0.234,a man is in the air ,-1.616369605,,44.744,a dolphin in an astronaut suit on saturn
123.png,53.317,53.317,a man in a helmet is in the middle of a water balloon,0.16806,0.2801,a man in a helmet is in the middle of a water balloon ,-0.951557994,,46.685,a dolphin in an astronaut suit on saturn
124.png,53.791,53.791,a little girl sitting on the floor next to a bunch of books,0.158123077,0.2855,a little girl sitting on the floor next to a bunch of books ,0.341945112,,51.671,a library filled with kids reading books
125.png,44.21,44.21,two children sitting in a library reading books,0.291079385,0.7508,two children sitting in a library reading ,1.137091756,,51.336,a library filled with kids reading books
126.png,50.102,50.102,a library filled with lots of books and toys,0.262024615,0.7885,a library filled with lots of books ,-0.01384251,,46.492,a library filled with kids reading books
127.png,53.072,53.072,a girl and a boy sitting in front of a bookcase,0.133942154,0.3023,a girl and a boy sitting in front of a bookcase ,0.92363435,,57.828,a library filled with kids reading books
128.png,57.292,57.292,a white boat sitting on top of a blue ocean,0.323552308,0.6373,a white boat sitting on top of a blue ocean ,-0.56982404,,58.204,a large white yacht in a calm bay on a sunny day
129.png,57.978,57.978,a blue and white boat in the water,0.1518,0.598,a blue and white boat ,0.787643492,,60.348,a large white yacht in a calm bay on a sunny day
130.png,58.636,58.636,a boat is docked in the water near a lighthouse,0.062607692,0.5426,a boat is ,0.666123807,,57.686,a large white yacht in a calm bay on a sunny day
131.png,57.6,57.6,a sailboat sailing on a body of water,0.072688846,0.5727,a sailboat ,-0.176653892,,57.809,a large white yacht in a calm bay on a sunny day
132.png,54.583,54.583,a toy boat on a grassy field,0.032385,0.4318,a toy ,0.885844231,,53.832,purple lego dollhouse with a pool and a swing
133.png,55.999,55.999,a toy elephant sitting on top of a toy boat,0.0270225,0.3603,a toy ,1.039026976,,58.61,purple lego dollhouse with a pool and a swing
134.png,45.979,45.979,a small child's birthday cake on a table,0.11685,0.228,a small child's birthday cake on a table ,-0.836637497,,44.589,purple lego dollhouse with a pool and a swing
135.png,53.786,53.786,a table topped with a pink and blue table cloth,0.17742,0.2957,a table topped with a pink and blue table cloth ,0.921930432,,60.994,purple lego dollhouse with a pool and a swing
136.png,52.369,52.369,an apple tree in the middle of a garden,0.603,0.7839,an apple tree in the middle of a garden ,0.32634607,,51.133,a small garden with an apple tree behind it
137.png,49.383,49.383,a garden filled with lots of flowers and plants,0.058122692,0.5597,a garden ,0.039140046,,50.331,a small garden with an apple tree behind it
138.png,46.911,46.911,a tree filled with lots of colorful fruit,0.038139231,0.4722,a tree ,0.44571051,,55.691,a small garden with an apple tree behind it
139.png,51.262,51.262,a vase filled with flowers on top of a table,0.15579,0.3462,a vase filled with flowers on top of a ,-1.217102528,,52.268,a small garden with an apple tree behind it
140.png,56.662,56.662,a glass of water and a spoon on a table,0.141417647,0.4145,a glass of water and a spoon ,-0.25143069,,51.167,a bloody mary cocktail next to a napkin
141.png,60.782,60.782,a glass of juice sitting on top of a table,0.401839216,0.4766,a glass of juice sitting on top of a table ,0.97357583,,54.57,a bloody mary cocktail next to a napkin
142.png,56.741,56.741,a glass of orange juice sitting on top of a cutting board,0.210444706,0.4259,a glass of orange juice sitting on top of ,-0.168067306,,53.132,a bloody mary cocktail next to a napkin
143.png,56.343,56.343,a cup of tea sitting on top of a napkin,0.2008,0.4267,a cup of tea sitting on top of a napkin ,-0.025090402,,55.19,a bloody mary cocktail next to a napkin
144.png,58.246,58.246,a toy truck with a dog on top of it,0.156221111,0.6113,a toy truck with a dog ,-0.282053947,,53.01,a kids' book cover with an illustration of white dog driving a red pickup truck
145.png,49.352,49.352,a painting of a cartoon character on a truck,0.1982,0.3964,a painting of a cartoon character on a truck ,0.024548613,,44.116,a kids' book cover with an illustration of white dog driving a red pickup truck
146.png,48.125,48.125,a painting of a dog on the side of a truck,0.269084444,0.5632,a painting of a dog on the side of a truck ,1.325785279,,43.28,a kids' book cover with an illustration of white dog driving a red pickup truck
147.png,47.319,47.319,a red truck with a picture of a dog on the side of it,0.28344,0.7086,a red truck with a picture of a dog ,1.612208247,,50.229,a kids' book cover with an illustration of white dog driving a red pickup truck
148.png,57.229,57.229,a kitchen with a stove top oven and a microwave,0.098579032,0.6791,a kitchen with ,-1.75319159,,57.097,A bare kitchen has wood cabinets and white appliances
149.png,54.172,54.172,a kitchen with a stainless steel refrigerator and sink,0.098579032,0.6791,a kitchen with ,-1.479004741,,57.672,A bare kitchen has wood cabinets and white appliances
150.png,61.553,61.553,a kitchen with a stove top oven and a microwave,0.098579032,0.6791,a kitchen with ,-0.223006994,,57.445,A bare kitchen has wood cabinets and white appliances
151.png,56.199,56.199,"a kitchen with a stove, refrigerator, sink and dishwasher",0.098579032,0.6791,a kitchen with ,-1.226863742,,56.559,A bare kitchen has wood cabinets and white appliances
152.png,49.43,49.43,a painting of a lake with trees,0.172872453,0.4772,a painting of a lake with trees ,1.568123102,,54.371,a fall landscape with a small cottage next to a lake
153.png,63.473,63.473,a house that has a tree in front of it,0.133838491,0.3284,a house that has a tree in front of ,0.998755932,,65.189,a fall landscape with a small cottage next to a lake
154.png,60.013,60.013,a house in the middle of a lake with trees,0.285016981,0.5855,a house in the middle of a lake with trees ,1.698290229,,60.296,a fall landscape with a small cottage next to a lake
155.png,60.45,60.45,a painting of a lake with a statue of a woman in it,0.111593208,0.4694,a painting of a lake ,1.462683558,,57.68,a fall landscape with a small cottage next to a lake
156.png,58.205,58.205,a teddy bear sitting on top of a skateboard,0.51592,0.6449,a teddy bear sitting on top of a skateboard ,1.965679646,,59.223,a teddy bear on a skateboard in times square
157.png,53.881,53.881,a teddy bear sitting on top of a skateboard,0.45143,0.6449,a teddy bear sitting on top of a skateboard ,1.987576962,,47.77,a teddy bear on a skateboard in times square
158.png,60.24,60.24,a teddy bear sitting on top of a skateboard,0.38694,0.6449,a teddy bear sitting on top of a skateboard ,1.958785176,,61.841,a teddy bear on a skateboard in times square
159.png,63.209,63.209,a teddy bear sitting on top of a skateboard,0.38694,0.6449,a teddy bear sitting on top of a skateboard ,1.924797058,,60.276,a teddy bear on a skateboard in times square
160.png,60.909,60.909,a dog with a picture of a cow on it,0.1201035,0.7279,a dog with ,0.587827682,,63.197,A blue colored dog
161.png,51.82,51.82,a dog with a blue collar standing on a field,0.227988,0.8444,a dog with a blue ,0.467133224,,59.442,A blue colored dog
162.png,49,49,a black and white photo of a dog,0.1782,0.36,a black and white photo of a dog ,1.294228554,,50.979,A blue colored dog
163.png,59.017,59.017,a dog that is standing in the grass,0.145719,0.6939,a dog that is ,0.29284516,,46.142,A blue colored dog
164.png,66.628,66.628,a man riding on the back of a brown horse,0.176656271,0.4136,a man riding on the back of a brown horse ,1.812073708,,66.678,A photo of an astronaut riding a horse in the forest.
165.png,57.24,57.24,a person riding a horse through the woods,0.354451525,0.6224,a person riding a horse through the woods ,0.925479889,,59.949,A photo of an astronaut riding a horse in the forest.
166.png,54.087,54.087,a person riding a horse through a forest,0.439116949,0.6319,a person riding a horse through a forest ,1.834098577,,60.624,A photo of an astronaut riding a horse in the forest.
167.png,53.91,53.91,a person riding on the back of a brown horse,0.221766102,0.4846,a person riding on the back of a brown horse ,1.742050767,,56.438,A photo of an astronaut riding a horse in the forest.
168.png,53.36,53.36,a red bike parked next to a red boat,0.25678,0.5552,a red bike parked next to a red boat ,0.802817285,,45.262,A bicycle on top of a boat
169.png,57.733,57.733,a bicycle parked next to a body of water,0.0780625,0.6245,a bicycle ,1.351077437,,54.984,A bicycle on top of a boat
170.png,52.781,52.781,a bicycle is parked on a dock near a boat,0.3555825,0.6773,a bicycle is parked on a dock near a boat ,1.52317059,,47.596,A bicycle on top of a boat
171.png,56.138,56.138,two bikes parked next to each other on a dock,0.050475,0.4038,two bikes ,1.764844775,,49.891,A bicycle on top of a boat
172.png,51.602,51.602,a knife cutting into a sandwich on a cutting board,0.262958298,0.6437,a knife cutting into a sandwich ,-0.72089982,,46.612,a sword slicing through a loaf of bread
173.png,58.26,58.26,a piece of bread on a cutting board,0.259353191,0.6772,a piece of bread on a cutting ,-0.714721024,,53.411,a sword slicing through a loaf of bread
174.png,61.104,61.104,a loaf of bread sitting on top of a knife,0.400090213,0.6396,a loaf of bread sitting on top of a knife ,0.01657578,,54.771,a sword slicing through a loaf of bread
