image,align_score,prompt,caption,quality_score,similarity_score,similarity_sentence,ImageReward_score,modifier,TOPIQ_score,Unnamed: 10,TOPIQ_score_bare
57.png,55.855,a pumpkin with a candle in it,a yellow fire hydrant sitting in the middle of a forest,57.599,0.2605,a yellow fire ,-1.032740474,0.1563,0.647097766,,0.6304047107696533
58.png,58.502,a pumpkin with a candle in it,a large orange and yellow fire hydrant sitting on top of a table,67.149,0.3779,a large orange ,1.486886859,0.22674,0.714945138,,0.6792179346084595
59.png,60.513,a pumpkin with a candle in it,a close up picture of a large orange flower,60.251,0.3385,a close up picture of a large orange flower ,0.631135285,0.2031,0.715284824,,0.6628631949424744
60.png,54.531,A bowl of Chicken Pho,a bowl filled with soup and vegetables next to chopsticks,57.533,0.6086,a bowl ,1.475118279,0.36516,0.65716517,,0.7104491591453552
61.png,57.298,A bowl of Chicken Pho,a bowl filled with noodles and vegetables,61.04,0.6086,a bowl ,1.380544186,0.36516,0.682771027,,0.6390966773033142
62.png,57.887,A bowl of Chicken Pho,a bowl filled with meat and vegetables on top of a table,60.052,0.6546,a bowl filled with meat and ,1.123214126,0.6546,0.646573484,,0.5991848707199097
63.png,56.882,A bowl of Chicken Pho,a white bowl filled with noodles and vegetables,61.398,0.5847,a white bowl ,1.08520472,0.35081999999999997,0.674471378,,0.6421183943748474
64.png,55.671,A heart made of chocolate,a colorful flower arrangement on a colorful fabric,62.218,0.2054,a colorful ,0.247401729,0.12323999999999999,0.647770882,,0.7365594506263733
65.png,56.06,A heart made of chocolate,a chocolate frosted chocolate frosted chocolate frosted chocolate frosted chocolate frost,60.245,0.6634,a chocolate ,1.850909472,0.53072,0.688492417,,0.725228488445282
66.png,61.073,A heart made of chocolate,a chocolate frosted donut on top of a table,64.724,0.6097,a chocolate ,1.579186797,0.36582,0.681055427,,0.7692189812660217
67.png,62.219,A heart made of chocolate,a chocolate cake with frosting on top of it,58.558,0.6426,a chocolate ,1.856902003,0.38555999999999996,0.638686895,,0.8371086716651917
68.png,61.291,a coffee table with a magazine on it,a living room filled with furniture and a vase of flowers,67.766,0.3722,a living room filled with furniture and a vase of ,1.394386411,0.22332,0.647043705,,0.7311375737190247
69.png,53.753,a coffee table with a magazine on it,a living room with a coffee table and a bookcase,61.183,0.6208,a living room with a coffee table ,1.346666813,0.43456,0.642957926,,0.7815824151039124
70.png,57.373,a coffee table with a magazine on it,a living room filled with furniture and a bookcase,60.38,0.3501,a living room filled with furniture and a bookcase ,1.315970063,0.21006,0.674692512,,0.7156247496604919
71.png,58.495,a coffee table with a magazine on it,a living room filled with furniture and a bookcase,63.482,0.3501,a living room filled with furniture and a bookcase ,1.522772789,0.21006,0.610037327,,0.7743503451347351
72.png,61.933,Sunset over the sea,the sun is setting over the ocean at sunset,64.622,0.7189,the sun is setting over the ocean at sunset ,0.484862745,0.43134,0.693178117,,0.6164011359214783
73.png,53.704,Sunset over the sea,a sunset shot of a sunset on a beach,50.916,0.7777,a sunset ,-0.279129952,0.4666199999999999,0.582408071,,0.6421169638633728
74.png,62.258,Sunset over the sea,a sunset shot of a beach with a large body of water,57.634,0.786,a sunset ,-0.004191878,0.4716,0.604709744,,0.5781698822975159
75.png,56.779,Sunset over the sea,a blurry photo of a sunset with a sky background,52.639,0.6381,a blurry photo of a sunset ,-0.602066517,0.38286,0.598368645,,0.571553647518158
76.png,51.448,a boat in the canals of venice,boats are docked in the water near a building,49.147,0.5531,boats are ,-0.547132194,0.33186,0.572988391,,0.6669290661811829
77.png,48.232,a boat in the canals of venice,a river filled with lots of colorful umbrellas,45.564,0.435,a river ,0.772645831,0.261,0.551108718,,0.4876980483531952
78.png,50.462,a boat in the canals of venice,a row of red and white boats in a body of water,51.007,0.543,a row of red and white boats in a body ,0.361321956,0.32580000000000003,0.577191234,,0.5935304760932922
79.png,56.05,a boat in the canals of venice,a river filled with lots of small boats in the middle of a city,60.491,0.5294,a river filled with lots of small boats in the middle of a city ,0.097847238,0.31764,0.616963029,,0.7472335696220398
80.png,40.837,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,a horse and a donkey jumping in the air,46.661,0.5004,a horse and a donkey jumping ,0.284661025,0.5004,0.619803309,,0.750282883644104
81.png,39.712,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,a statue of a horse and a donkey,56.657,0.2017,a statue of a horse and a donkey ,0.551472843,0.12101999999999999,0.570575714,,0.7332219481468201
82.png,41.297,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,a statue of a bear with a stuffed animal in it's mouth,50.442,0.3037,a statue of a bear with a stuffed animal in it's mouth ,0.66758585,0.18222000000000002,0.561506212,,0.7620366811752319
83.png,48.542,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,a large gray and white horse drinking water from a pond,56.604,0.175,a large gray and white horse ,-0.211823195,0.105,0.615257561,,0.7213737964630127
84.png,40.545,a grandmother reading a book to her grandson and granddaughter,a woman reading a book while sitting on a park bench,49.032,0.4766,a woman reading a book ,0.102032237,0.28596,0.544410288,,0.5391846895217896
85.png,46.844,a grandmother reading a book to her grandson and granddaughter,a woman sitting on a couch with a child reading a book,53.575,0.49,a woman sitting on a couch with a child reading a book ,1.38929224,0.294,0.604670227,,0.7871167063713074
86.png,40.138,a grandmother reading a book to her grandson and granddaughter,a woman reading a book to a little girl,46.733,0.5786,a woman reading a book to a little girl ,1.313159823,0.40502,0.575216055,,0.736649751663208
87.png,45.898,a grandmother reading a book to her grandson and granddaughter,a woman sitting on a couch with a child reading a book,53.473,0.49,a woman sitting on a couch with a child reading a book ,1.630344272,0.294,0.5900141,,0.7656625509262085
88.png,52.281,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ,a semi truck is driving down the road,61.257,0.5665,a semi truck is ,-1.203769326,0.3399,0.609337509,,0.7472946047782898
89.png,50.506,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ,a semi truck driving down a road next to a fence,61.722,0.542,a semi truck ,-0.910012007,0.3252,0.603361309,,0.7967913746833801
90.png,39.009,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ,a blue truck is driving down the road,48.759,0.5953,a blue truck ,0.527184546,0.35718,0.590773106,,0.6301400065422058
91.png,45.885,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ,a row of semi trucks driving down a road,58.112,0.5741,a row of semi trucks ,-1.300930023,0.34446000000000004,0.591227591,,0.808264434337616
92.png,60.589,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,a figurine of a bear and a fire hydrant,59.904,0.4999,a figurine of a bear ,1.472701669,0.4999,0.582014084,,0.6358420252799988
93.png,45.427,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,a cat sitting on top of a cake,55.134,0.3642,a cat ,-0.117588609,0.21852000000000002,0.547259212,,0.5704991221427917
94.png,52.172,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,a cat sitting on top of a box next to a book,58.126,0.3754,a cat sitting on top of a box ,-0.349155337,0.22524,0.569889307,,0.7662941217422485
95.png,41.724,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,a person wearing a cat costume,58.605,0.351,a person wearing a cat costume ,-0.086684093,0.21059999999999998,0.564028561,,0.5917462110519409
96.png,53.506,a tree reflected in the sunroof of a blue car,a reflection of a reflection of a car in a mirror,55.569,0.6553,a reflection of a reflection of a car in ,-0.417819768,0.39318,0.614528537,,0.652039110660553
97.png,41.523,a tree reflected in the sunroof of a blue car,a blue car is parked in a parking lot,59.285,0.6312,a blue car is ,-2.26406002,0.37872,0.664493442,,0.7563048601150513
98.png,52.984,a tree reflected in the sunroof of a blue car,a photo taken from inside a car window,55.328,0.4263,a photo taken from inside a car window ,-0.059206735,0.25578,0.642205477,,0.760234534740448
99.png,46.152,a tree reflected in the sunroof of a blue car,a tree filled with lots of green leaves in front of a blue sky,54.041,0.5228,a tree filled with lots of green leaves in front of a blue sky ,-2.121955633,0.31368,0.586596489,,0.5593318343162537
100.png,42.932,a pineapple with one beer to its left and two beers on its right,a table topped with a bunch of different types of fruit,51.553,0.2584,a table topped with a bunch of different types of fruit ,1.725535393,0.15504,0.636121869,,0.7592890858650208
101.png,48.343,a pineapple with one beer to its left and two beers on its right,a glass of beer sitting on top of a table,63.567,0.5594,a glass of beer ,-1.878301382,0.33564,0.671926618,,0.713379979133606
102.png,48.818,a pineapple with one beer to its left and two beers on its right,a vase with flowers on top of it,55.041,0.2474,a vase with ,1.188760281,0.14844,0.562120318,,0.6174258589744568
103.png,53.258,a pineapple with one beer to its left and two beers on its right,a bottle of beer next to a bottle of coke,62.062,0.6022,a bottle of beer next to a ,1.638547778,0.42153999999999997,0.680282354,,0.7121313810348511
104.png,46.541,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a collage of different types of stickers on a wall,56.301,0.2761,a collage of different types of stickers on a ,-0.205853119,0.16566,0.600457907,,0.7845462560653687
105.png,54.231,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a table topped with lots of different types of magnets,57.986,0.1365,a table topped with lots of different types of magnets ,0.053423069,0.0819,0.629859388,,0.5890222191810608
106.png,45.318,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a variety of toys are displayed on a table,51.353,0.3131,a variety of toys are displayed on a ,0.19035694,0.25048,0.576388478,,0.7915557026863098
107.png,53.9,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a variety of toy animals on a table,63.675,0.2678,a variety of toy animals on a ,-0.85695523,0.16068,0.611209452,,0.5937997698783875
108.png,58.522,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a living room filled with furniture and flowers,61.995,0.5838,a living room filled with furniture and flowers ,0.100312665,0.35028,0.640221298,,0.7805175185203552
109.png,58.215,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a living room filled with furniture and flowers,54.774,0.5838,a living room filled with furniture and flowers ,0.970213115,0.35028,0.645776927,,0.7613503932952881
110.png,61.356,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a living room filled with furniture and a dog,65.601,0.5852,a living room filled with furniture and a dog ,1.301095247,0.40964,0.676733851,,0.7745959162712097
111.png,53.519,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a living room filled with furniture and a dog,51.102,0.5852,a living room filled with furniture and a dog ,1.69050777,0.35112000000000004,0.613274038,,0.7703683972358704
112.png,55.775,Snow mountain and tree reflection in the lake,a snowy mountain range with a lake and mountains,54.18,0.7219,a snowy mountain range with a lake ,1.296941638,0.43313999999999997,0.583251715,,0.7224196195602417
113.png,58.655,Snow mountain and tree reflection in the lake,a snowy landscape with a lake and mountains,67.548,0.6902,a snowy landscape with a lake ,1.567178011,0.41412,0.680056751,,0.6918122172355652
114.png,59.59,Snow mountain and tree reflection in the lake,a large body of water with a mountain range,55.828,0.4222,a large body of water with a mountain ,0.36301139,0.25332,0.619528353,,0.5605366230010986
115.png,64.197,Snow mountain and tree reflection in the lake,a large body of water surrounded by mountains,63.185,0.3616,a large body of water surrounded by mountains ,0.817616642,0.21696,0.66851151,,0.6661812663078308
116.png,56.292,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",a painting of a painting of a group of people on a beach,61.799,0.2549,a painting of ,0.148635,0.15294,0.626225233,,0.7708869576454163
117.png,54.432,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",a painting of a colorful kite on a wall,55.744,0.2987,a painting of a colorful kite on a wall ,-0.113978967,0.17922000000000002,0.60699904,,0.7611856460571289
118.png,58.282,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",a display of colorful umbrellas in front of a building,58.218,0.4157,a display of colorful umbrellas in front of a building ,0.241367549,0.4157,0.609170675,,0.7210196852684021
119.png,47.816,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",a painting of a train on top of a bridge,49.882,0.2586,a painting of ,-0.079535753,0.15516,0.575363159,,0.67010098695755
120.png,47.864,a dolphin in an astronaut suit on saturn,a large teddy bear sitting on top of a jet ski,56.302,0.2998,a large teddy bear sitting on top of a jet ,-0.91518265,0.17988,0.589803874,,0.7633758783340454
121.png,38.788,a dolphin in an astronaut suit on saturn,a model of a bird flying through the air,48.83,0.2718,a model of a bird flying through the air ,-0.571607053,0.16307999999999997,0.540571034,,0.7049153447151184
122.png,44.744,a dolphin in an astronaut suit on saturn,a man is in the air with a snowboard,51.676,0.234,a man is in the air ,-1.616369605,0.1404,0.57579577,,0.7156244516372681
123.png,46.685,a dolphin in an astronaut suit on saturn,a man in a helmet is in the middle of a water balloon,53.317,0.2801,a man in a helmet is in the middle of a water balloon ,-0.951557994,0.16806000000000001,0.576763153,,0.6357125639915466
124.png,51.671,a library filled with kids reading books,a little girl sitting on the floor next to a bunch of books,53.791,0.2855,a little girl sitting on the floor next to a bunch of books ,0.341945112,0.17129999999999998,0.613897562,,0.6850832104682922
125.png,51.336,a library filled with kids reading books,two children sitting in a library reading books,44.21,0.7508,two children sitting in a library reading ,1.137091756,0.45048,0.617707253,,0.7080007791519165
126.png,46.492,a library filled with kids reading books,a library filled with lots of books and toys,50.102,0.7885,a library filled with lots of books ,-0.01384251,0.5519499999999999,0.629771531,,0.7653046250343323
127.png,57.828,a library filled with kids reading books,a girl and a boy sitting in front of a bookcase,53.072,0.3023,a girl and a boy sitting in front of a bookcase ,0.92363435,0.18138,0.657364786,,0.7380730509757996
128.png,58.204,a large white yacht in a calm bay on a sunny day,a white boat sitting on top of a blue ocean,57.292,0.6373,a white boat sitting on top of a blue ocean ,-0.56982404,0.38238,0.590980053,,0.6996325254440308
129.png,60.348,a large white yacht in a calm bay on a sunny day,a blue and white boat in the water,57.978,0.598,a blue and white boat ,0.787643492,0.35879999999999995,0.591664374,,0.7017430663108826
130.png,57.686,a large white yacht in a calm bay on a sunny day,a boat is docked in the water near a lighthouse,58.636,0.5426,a boat is ,0.666123807,0.32555999999999996,0.618022442,,0.707896888256073
131.png,57.809,a large white yacht in a calm bay on a sunny day,a sailboat sailing on a body of water,57.6,0.5727,a sailboat ,-0.176653892,0.34362,0.594890237,,0.7432120442390442
132.png,53.832,purple lego dollhouse with a pool and a swing,a toy boat on a grassy field,54.583,0.4318,a toy ,0.885844231,0.25908,0.560719907,,0.4567879140377044
133.png,58.61,purple lego dollhouse with a pool and a swing,a toy elephant sitting on top of a toy boat,55.999,0.3603,a toy ,1.039026976,0.21618,0.518944681,,0.4557348191738128
134.png,44.589,purple lego dollhouse with a pool and a swing,a small child's birthday cake on a table,45.979,0.228,a small child's birthday cake on a table ,-0.836637497,0.1368,0.507714868,,0.3894221782684326
135.png,60.994,purple lego dollhouse with a pool and a swing,a table topped with a pink and blue table cloth,53.786,0.2957,a table topped with a pink and blue table cloth ,0.921930432,0.17742,0.521098912,,0.35905921459198
136.png,51.133,a small garden with an apple tree behind it,an apple tree in the middle of a garden,52.369,0.7839,an apple tree in the middle of a garden ,0.32634607,0.7839,0.598957896,,0.6390565037727356
137.png,50.331,a small garden with an apple tree behind it,a garden filled with lots of flowers and plants,49.383,0.5597,a garden ,0.039140046,0.33581999999999995,0.662153602,,0.7329402565956116
138.png,55.691,a small garden with an apple tree behind it,a tree filled with lots of colorful fruit,46.911,0.4722,a tree ,0.44571051,0.28332,0.610343933,,0.6922869086265564
139.png,52.268,a small garden with an apple tree behind it,a vase filled with flowers on top of a table,51.262,0.3462,a vase filled with flowers on top of a ,-1.217102528,0.20772,0.693591356,,0.7962988615036011
140.png,51.167,a bloody mary cocktail next to a napkin,a glass of water and a spoon on a table,56.662,0.4145,a glass of water and a spoon ,-0.25143069,0.24869999999999998,0.606717825,,0.6422337293624878
141.png,54.57,a bloody mary cocktail next to a napkin,a glass of juice sitting on top of a table,60.782,0.4766,a glass of juice sitting on top of a table ,0.97357583,0.4766,0.638590872,,0.6861175298690796
142.png,53.132,a bloody mary cocktail next to a napkin,a glass of orange juice sitting on top of a cutting board,56.741,0.4259,a glass of orange juice sitting on top of ,-0.168067306,0.25554,0.590301394,,0.5635288953781128
143.png,55.19,a bloody mary cocktail next to a napkin,a cup of tea sitting on top of a napkin,56.343,0.4267,a cup of tea sitting on top of a napkin ,-0.025090402,0.25602,0.579974532,,0.7482224106788635
144.png,53.01,a kids' book cover with an illustration of white dog driving a red pickup truck,a toy truck with a dog on top of it,58.246,0.6113,a toy truck with a dog ,-0.282053947,0.36677999999999994,0.544462323,,0.7534210085868835
145.png,44.116,a kids' book cover with an illustration of white dog driving a red pickup truck,a painting of a cartoon character on a truck,49.352,0.3964,a painting of a cartoon character on a truck ,0.024548613,0.23783999999999997,0.519138277,,0.7446029782295227
146.png,43.28,a kids' book cover with an illustration of white dog driving a red pickup truck,a painting of a dog on the side of a truck,48.125,0.5632,a painting of a dog on the side of a truck ,1.325785279,0.33792,0.513847291,,0.8064924478530884
147.png,50.229,a kids' book cover with an illustration of white dog driving a red pickup truck,a red truck with a picture of a dog on the side of it,47.319,0.7086,a red truck with a picture of a dog ,1.612208247,0.42516,0.474613726,,0.5483470559120178
148.png,57.097,A bare kitchen has wood cabinets and white appliances,a kitchen with a stove top oven and a microwave,57.229,0.6791,a kitchen with ,-1.75319159,0.40746,0.63828522,,0.7029523253440857
149.png,57.672,A bare kitchen has wood cabinets and white appliances,a kitchen with a stainless steel refrigerator and sink,54.172,0.6791,a kitchen with ,-1.479004741,0.40746,0.640719652,,0.7579718828201294
150.png,57.445,A bare kitchen has wood cabinets and white appliances,a kitchen with a stove top oven and a microwave,61.553,0.6791,a kitchen with ,-0.223006994,0.40746,0.668960512,,0.7837364673614502
151.png,56.559,A bare kitchen has wood cabinets and white appliances,"a kitchen with a stove, refrigerator, sink and dishwasher",56.199,0.6791,a kitchen with ,-1.226863742,0.40746,0.649372995,,0.7777719497680664
